SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"30970","10281","1","2021","Normal","Icons","Model making","Botanical Collection","Bonsai Tree","X","10281-1","49.99","44.99","69.99","49.99","02/01/2021 00:00:00","15/04/2026 00:00:00","878","","","Box","Retail","6332928","6332925","5702016914177","673419340533","26.2","38.2","7.1","0.76","18","21","20","18","","29389","3553","13","12","X","25","34.9300","29.3600","Nick Vas,","01/01/2021 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"24015","10700","1","2015","Normal","Classic","Basic","Baseplates","32x32 Green Baseplate","X","10700-1","7.99","7.99","9.99","8.99","07/01/2015 00:00:00","17/03/2022 00:00:00","1","","","Shrink-wrapped","Retail","6102278","6102277","5702015357142","673419232845","26.0096","30.8102","0.3048","0.1043262","","","","4","99","8532","701","0","2","X","13","6.8800","4.6400","","","","X","","1","1","0","0","1","","","","","","","","",""
"23935","10701","1","2015","Normal","Classic","Basic","Baseplates","48x48 Grey Baseplate","X","10701-1","14.99","12.99","17.99","14.99","07/01/2015 00:00:00","20/03/2022 00:00:00","1","","","Shrink-wrapped","Retail","6102280","6102279","5702015357159","673419233750","38.7096","43.7896","0.3048","0.2222601","","","","4","99","7860","778","0","2","X","22","12.2700","10.3200","","","","X","","1","1","0","0","1","","","","","","","","",""
"26556","10703","1","2017","Normal","Classic","Basic","Creative Box","Creative Builder Box","X","10703-1","","19.99","","24.99","","","502","","","Box","Retail","6175633","6175631","5702015868860","673419267366","26.2","22.2","14.3","","","","","4","99","2068","474","5","9","X","4","42.0500","22.0000","Jonathan Robson,","01/01/2017 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"26773","10704","1","2017","Normal","Classic","Basic","Creative Box","Creative Box","X","10704-1","","29.99","","34.99","","","900","","","Box","Retail","6175638","6175637","5702015869379","673419267373","26","38","14","","","","","4","99","2851","327","5","5","X","8","49.2100","21.7900","Astrid Bonfante,","01/01/2017 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"26562","10735","1","2017","Normal","Juniors","Junior","City","Police Truck Chase","X","10735-1","19.99","14.99","24.99","19.99","27/11/2016 00:00:00","25/11/2017 00:00:00","90","2","cty0751,cty0752,","Box","Retail","6175388","6175384","5702015868341","673419266741","26.2128","19.1008","4.5974","0.285763","","","","4","7","792","276","2","6","X","0","20.9300","18.6300","Jonathan Robson,","","","X","","1","1","0","0","1","","","","","","","","",""
"27510","21141","1","2018","Normal","Minecraft","Licensed","Minifig-scale","The Zombie Cave","X","21141-1","19.99","19.99","24.99","19.49","01/01/2018 00:00:00","21/11/2020 00:00:00","241","3","min010,min016,min057,","Box","Retail","6212474","6212473","5702016109597","673419281539","26.2","19.1","6.1","0.39","11","19","14","7","14","3848","795","2","8","X","5","45.3900","11.2900","Max Valembois,","01/01/2018 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29490","21162","1","2020","Normal","Minecraft","Licensed","Minifig-scale","The Taiga Adventure","X","21162-1","9.99","8.99","13.99","9.99","02/01/2020 00:00:00","09/02/2022 00:00:00","74","2","min011,min074,","Box","Retail","6288716","6288715","5702016618297","673419319065","14.1","12.2","4.6","0.1","9","9","3","7","","4289","716","2","4","X","24","14.1600","6.7900","","01/01/2020 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"30936","21165","1","2021","Normal","Minecraft","Licensed","Minifig-scale","The Bee Farm","X","21165-1","19.99","17.99","24.99","19.99","01/12/2020 00:00:00","22/12/2022 00:00:00","238","2","min091,min092,","Box","Retail","6332807","6332806","5702016913774","673419340205","26.2","19.1","6.1","","19","16","13","8","","4397","761","2","11","X","14","25.8400","15.6100","Isaac Snyder,","01/12/2020 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"31356","21171","1","2021","Normal","Minecraft","Licensed","Minifig-scale","The Horse Stable","X","21171-1","19.99","17.99","24.99","19.99","02/08/2021 00:00:00","14/12/2022 00:00:00","241","2","min065,min099,","Box","Retail","6332819","6332818","5702016913897","673419340663","26.2","19.1","6.1","","14","14","9","8","","2374","673","2","9","X","0","22.5700","14.9500","Esa Nousiainen,","01/06/2021 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
